priority	segment	organization	person	title	linkedin
A	Associations/networks	Affiliated Enterprise Solutions (AES)	Brian Stevens	Founder, President & CEO, Affiliated Enterprise Solutions; also Managing General Partner, Converge Capital Partners	https://www.linkedin.com/in/briancstevens
A	Associations/networks	Great Plains Health Alliance (GPHA)	Curt Colson	President & CEO	NOT_FOUND
A	Associations/networks	MHA Ventures, Inc. (Montana Hospital Association)	Sean Becker	Vice President of Shared Services (MHA Ventures)	https://www.linkedin.com/in/beckersean
A	Associations/networks	Minnesota Hospital Association (Endorsed Business Partner program)	Drew Wolf	Senior Director, Business Partnerships	https://www.linkedin.com/in/drew-wolf-mn
A	Associations/networks	NHA Services, Inc. (Nebraska Hospital Association)	Michael (Mike) DeLanie	Vice President, Business Partnerships (NHA Services)	https://www.linkedin.com/in/michaeldelanie
A	Associations/networks	NRHA Services Corporation (National Rural Health Association)	Larry Bedell	CEO, NRHA Services Corporation	https://www.linkedin.com/in/larry-bedell-10132b3
A	Associations/networks	SDAHO Enterprises (South Dakota Association of Healthcare Organizations)	Erin Healy	Director of Business Development, SDAHO Enterprises	https://www.linkedin.com/in/erin-healy
A	Associations/networks	ServiShare (Iowa Hospital Association subsidiary)	Jim Green	Vice President, ServiShare Sales and Marketing	https://www.linkedin.com/in/jim-green-a5946125
A	CPA/advisory	BerryDunn	Denny Roberge	Principal; National Leader in Revenue Cycle Consulting	https://www.linkedin.com/in/denny-roberge-4949636
A	CPA/advisory	CLA (CliftonLarsonAllen)	Dan Larsen	Principal, Health Care; leader of CLA critical access hospital reimbursement consulting practice	https://www.linkedin.com/in/dan-larsen-582b707
A	CPA/advisory	DZA (Dingus, Zarecor & Associates)	Steve Febus	Director of Advisory Solutions	https://www.linkedin.com/in/steve-febus-mba
A	CPA/advisory	Eide Bailly	Rachel Pugliano	Managing Director, Healthcare (since May 2026)	https://www.linkedin.com/in/rachelpugliano
A	CPA/advisory	Forvis Mazars US	Steven LaFrance	Managing Partner, National Healthcare Consulting	https://www.linkedin.com/in/steve-lafrance-revenue-cycle
A	CPA/advisory	Forvis Mazars US	Deb Kozlowski	Director, Healthcare Consulting (revenue cycle data analytics)	https://www.linkedin.com/in/deb-kozlowski-cpa
A	CPA/advisory	Stroudwater Associates	Amy Graham	Principal (revenue cycle leader)	https://www.linkedin.com/in/amybiblegraham
A	CPA/advisory	Wipfli	Valerie Petersen	Manager, Healthcare/Revenue Cycle (Wipfli Advisory LLC)	https://www.linkedin.com/in/valerie-petersen-0343b9346
A	CPA/advisory	Wipfli	Paul Traczek	Partner, Health Care practice	https://www.linkedin.com/in/paul-traczek-392019108
A	EHR/tech/GPO	Cerenium Technologies	Paul Turec	CEO, Cerenium Technologies (also runs Rocketship Strategies)	https://www.linkedin.com/in/paulturec
A	EHR/tech/GPO	MEDITECH	Brian Schuller	Director of Business Development (runs MEDITECH Alliance)	https://www.linkedin.com/in/brian-schuller-ab5a9730
A	EHR/tech/GPO	Premier Inc.	Jordan Garrett	Senior Director, Digital Health Supplier Engagement	https://www.linkedin.com/in/jordanlevigarrett
A	EHR/tech/GPO	TruBridge (fka CPSI)	Michael Daughton	Chief Business Officer	https://www.linkedin.com/in/michael-daughton-1550639
