"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"Complementary finance-office vendor","AblePay Health","ablepayhealth.com","PA","22 states (2024); endorsed in MT, NE, SD, KS, IA, MN, ND (inferred), IN, OH, TX, KY, AR, NC, VA, PA, NH, MA, S. CA","Endorsed by 17 state HAs, active in 22 states (SDAHO, Jan 2024, stale); MHA Ventures MT endorsement covers 49 MT CAHs; rural examples Ellsworth County Medical Center KS, Madelia Health MN (per AblePay LinkedIn, seen 2026-09-24)","https://sdaho.org/2024/01/18/partner-demo-webinar-addressing-the-patient-affordability-gap/","refer","No formal referral program found. Channel = association endorsements: MHA Ventures MT lists AblePay under Financial Viability (contact Shelly Soupir); NHA Services NE; HASC EBP (2026); OHA corporate sponsor (Aug 2026); 2020 SRHO strategic partnership per AblePay (stale)","https://mtha.org/business-solutions/mha-ventures-inc/endorsed-services","Co-endorsed alongside CorroHealth in MT (MHA Ventures page)","low","Patient-balance financing only (pays provider in 14 days, no recourse, per HASC); no denials or appeals product found","Y: MHA Ventures (Montana) endorsed vendor","A","(judgment) Complementary with the widest endorsed rural footprint in the set and a Montana endorsement; no formal referral program, so the ask is a co-referral agreement. Montana tie lifts a B to A.","2026-09-24"
"Complementary finance-office vendor","ClearBalance Healthcare","clearbalance.org","TN","national","NOT_FOUND (count). Rural examples: Livingston HealthCare MT (live 2026-08-10); HARS partnership targets TORCH small/rural TX hospitals (2026-06)","https://www.livingstonhealthcare.org/news-articles/2026/july/livingston-healthcare-announces-new-patient-paym/","refer/integrate","Per ClearBalance, a 'Healthcare Partners' program invites health tech companies and others to partner; 2026 alliances with LJO Advisors (Feb 2026) and HARS (Jun 2026) show it signs referral-style advisory partnerships; MT HFMA Supporter business partner","https://clearbalance.org/clearbalance-healthcare-partners-with-healthcare-advanced-revenue-strategies-hars/","none found","low","Interest-free patient financing and digital engagement; no appeals product found (its KLAS 'denial rate' claim is marketing, per phase 1 note)","Y: Livingston HealthCare (MT) client since Aug 2026; MT HFMA Supporter","A","(judgment) Complementary, actively signing advisory/referral partners in 2026, and a new Montana CAH-region client next door to Glendive; rural count unknown, so Montana tie lifts B to A.","2026-09-24"
"Complementary finance-office vendor","CarePayment","carepayment.com","TN","national","NOT_FOUND (count). Rural examples are old: Waverly Health Center IA CAH (2015), Pulaski Memorial IN CAH (2015), Powell Valley WY (undated)","https://www.carepayment.com/waverly-health-center-carepayment-feature-affordable-patient-financing-option-dynamic-terms/","refer","No current partner/referral program or association endorsement found. Past Siemens Healthcare strategic alliance (2014, stale). #1 Black Book 2025 patient financing, per CarePayment","https://carepayment.com/black-book-2025-patient-financing-carepayment/","none found","low","Patient financing (recourse, non-recourse, hybrid); no appeals product found","N","C","(judgment) Complementary but no current endorsement, partner program or recent rural evidence found.","2026-09-24"
"Complementary finance-office vendor","PatientPay","patientpay.com","NC","TX, KS, IL + national","~6 rural/community hospitals named: 3 TX community hospitals (2024), Lawrence County Memorial IL CAH (2025-11), William Newton Hospital KS CAH clinics (2026-06)","https://www.patientpay.com/blog/june-2026-new-go-lives-an-accelerate-win-and-stronger-payment-safeguards","refer/integrate","Integration partnership with Azalea Health (rural EHR) per PatientPay; TORCH corporate member (phase 1 C file)","https://patientpay.com/blog/patientpay-partners-with-azalea-health-to-improve-financial-outcomes-for-community-hospitals-and-medical-groups","none found","low","Patient billing and digital payments only","N","B","(judgment) Complementary with an active EHR partnership and TORCH presence, but rural reach is still small.","2026-09-24"
"Complementary finance-office vendor","PayZen","payzen.com","CA","MS, IA, KS + national","MHA Solutions MS endorsement covers 100+ hospitals/clinics (2022, stale); IA/ServiShare partnership for 117 hospitals (2022, stale); Patterson Health Center KS (2025)","https://www.prnewswire.com/news-releases/payzen-announces-partnership-with-iowa-hospital-association-301602209.html","refer","State HA endorsements (MS 2022, IA 2022); 2026 Best in KLAS Patient Financing; 2026 HFMA-partnered provider survey. No referral program found","https://www.prnewswire.com/news-releases/payzen-wins-mississippi-hospital-association-endorsed-services-status-301488913.html","none found","low","Patient financing today; per PayZen it is 'expanding beyond financing and building a comprehensive AI platform' (watch for RCM overlap)","N","B","(judgment) Complementary with endorsed rural reach (stale sources) but no referral mechanism found; AI platform expansion is a watch item.","2026-09-24"
"Complementary finance-office vendor","CommerceHealthcare (Commerce Bank)","commercehealthcare.com","MO","national; endorsed in MI, MO, MN, NC, NH, LA, VA, WV, PA, WA","NOT_FOUND (count). Endorsed by ~10 state HAs (phase 1 C/D files + MHA MI page)","https://www.mha.org/business-services/endorsed-business-partner-program/commerce-healthcare/","refer","Association-endorsed banking vendor: AP virtual card and Payment Hub (revenue share to hospital), RemitConnect receivables posting/reconciliation, HSF patient lending, PreferPay refunds. HFMA Peer Reviewed. No referral program found","https://www.commercehealthcare.com/solutions/accounts-payable-automation","none found","low","Payables, remittance posting and patient lending; RemitConnect touches 835 data but no denials/appeals work found","N","B","(judgment) Complementary and embedded in many state HA programs with CFO relationships; no partner program found, and AP buyers are not always the revenue cycle buyer.","2026-09-24"
"Complementary finance-office vendor","HELP Financial","helpfinancial.com","NOT_FOUND","national, rural focus","NOT_FOUND (count). Per HELP, '35+ years' with rural healthcare organizations","https://nrhasc.com/meet-your-partners/help-financial/","refer","NRHA Gold Partner per HELP; NRHA republished HELP content (2025-09, 2026-06) calling it 'a trusted NRHA partner'. No referral program found","https://www.helpfinancial.com/about","none found","low","Patient payment plans with upfront funding plus first-stage billing; no appeals product found","N","B","(judgment) Complementary and visible in the NRHA channel, but rural hospital count and partner mechanism are NOT_FOUND.","2026-09-24"
"Complementary finance-office vendor","MCAG (Managed Care Advisory Group)","mcag.com","OH","national; endorsed in MT, NE, MI, S. CA, N. CA, SD, OK, AR, KY, NC, MN, CO, NH, MA, NY, IN","1,400+ hospital clients per MCAG (MHA MI page)","https://www.mha.org/business-services/in-house-solutions/endorsed-business-partner-program/mcag/","refer","Endorsed in 15+ state HA programs incl. MHA Ventures MT and NHA Services NE; 20% contingency on class-action recoveries (HASC, undated). No referral program found","https://mtha.org/business-solutions/mha-ventures-inc/endorsed-services","none found","low","Class-action settlement claims filing only; no payer denials work","Y: MHA Ventures (Montana) endorsed vendor","B","(judgment) Huge endorsed hospital reach and a Montana tie, but the CFO relationship is transactional and no partner program exists; worth one peer conversation.","2026-09-24"
"Complementary finance-office vendor","SunRx (MedImpact)","sunrx.com","CA","national; endorsed in MT, SD, TX, MI, S. CA, GA, AL, SC, LA, WV, CO, WA, MN","NOT_FOUND (count). Per SunRx, endorsed by state HAs as 'exclusive 340B administrator'","https://www.sunrx.com/who-we-are/business-partners","refer","State HA exclusive 340B endorsements (SDAHO, THA, MHA MI, others). No referral program found","https://enterprises.sdaho.org/sunrx/","none found","low","340B administration only; no claims appeals","Y: MHA Ventures MT endorsed (phase 1 D file)","C","(judgment) Broad endorsements but the buyer is pharmacy/340B, not the revenue cycle team; weak co-referral fit.","2026-09-24"
"Complementary finance-office vendor","ClaraPrice","claraprice.com","TX","national, rural focus","'Hundreds of hospitals nationwide ... including a majority of Rural and Critical Access' per ClaraPrice (NRHA SC page, 2026-07)","https://nrhasc.com/meet-your-partners/claraprice/","refer/integrate","NRHA Services Corp partner (2026); NHA Services NE Preferred Business Partner; exhibited NRHA CAH Conference 2025. No referral program found","https://www.nhaservices.org/partners/claraprice","none found","low","Price transparency, GFE and No Surprises Act compliance; optional Payer Contract Management module is adjacent (underpayment identification) but no appeals found","N","B","(judgment) Rural-heavy client base and CFO touch; no partner program, so B.","2026-09-24"
