"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"State hospital association service arm","AlaHA Solutions Group (Alabama Hospital Association)","alaha.org/solutions-group","AL","AL","112 hospitals (AlaHA); 52 rural hospitals (al.com Oct 2025); 5 CAHs (FMT 2024)","https://www.al.com/news/2025/10/alabama-in-danger-of-losing-half-of-its-rural-hospitals-5-things-to-know-about-the-health-care-crisis.html","endorse/refer","""AlaHA Solutions Group connects member hospitals with strategic partners""; non-binding Solutions Interest Form; only Qualivis, SUNRx, Vizient listed (per AlaHA)","https://www.alaha.org/solutions-group/","none found (TruBridge is an event sponsor, not endorsed)","low","No RCM/denials strategic partner on a 3-vendor list; TruBridge only sponsors (alaha.org/sponsors).","N","A","(judgment) Open slot, 52 rural hospitals and a live interest form; AlaHA also ran a payer denial-rate data collaborative.","2026-09-24"
"State hospital association service arm","Alaska Hospital & Healthcare Association (AHHA)","alaskahha.org","AK","AK","13 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","refer","""AHHA does not endorse or recommend associate member organizations, nor do we enter into exclusive partnerships"" (per AHHA); associate membership/sponsorship $1,500-$7,500","https://alaskahha.org/membership","none found","low","No endorsement program, so no taken category.","N","C","(judgment) No endorse mechanism; only associate membership/sponsorship.","2026-09-24"
"State hospital association service arm","AzHHA Service Corporation / Affiliated Partners Program (Arizona)","azhha.org","AZ","AZ","17 CAHs (FMT 2024); member total NOT_FOUND","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse (suspended)","""The Affiliated Partners Program is not currently accepting business applications for endorsement... suspended for the immediate future"" (per AzHHA, seen 2026-09-24)","https://www.azhha.org/affiliated-partners-program/","none found","low","No current RCM partner; 2025 annual report names payer denials/appeals as a member priority.","N","C","(judgment) Program suspended; revisit when reopened; denials advocacy is a possible education entry.","2026-09-24"
"State hospital association service arm","AHA Services, Inc. (AHASI, Arkansas Hospital Association)","ahaservicesinc.com","AR","AR","105 member hospitals (AFMC, undated); 27 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Wholly owned sub; ""carefully vetted business services to AHA members at specially brokered rates""; Strategic and Visibility Partner tiers (Aug 2026 directory)","https://ahaservicesinc.com/site/assets/files/1019/8_18_26_ahasi_directory.pdf","AblePay (patient pay); Callagy Recovery (NSA IDR); HYVE payer scorecard; MCAG","low","No denials/appeals vendor in Aug 2026 directory; Callagy/HYVE are adjacent (IDR, payer data), not appeals writing.","N","A","(judgment) Open appeals slot, 27 CAHs, and a current directory with a named president (Tina Creel).","2026-09-24"
"State hospital association service arm","California Hospital Association (Association Supporter Program)","calhospital.org","CA","CA","400 member hospitals/systems (CHA); 36 CAHs (FMT 2024)","https://calhospital.org/education-publications/associate-supporter-program","sponsor/refer","Association Supporter Program for non-hospital orgs; no endorsed-vendor arm found (per CHA page, stale 2011 contact)","https://calhospital.org/education-publications/associate-supporter-program","none found","low","No endorsement program; regional councils (HASC, Hospital Council) run endorsements instead.","N","C","(judgment) No statewide endorsement mechanism; route via regional councils or CCAHN.","2026-09-24"
"State hospital association service arm","AllHealth, Inc. (Hospital Association of Southern California, HASC)","hasc.org","CA","Southern CA (6 counties)","181+ hospitals (archive.hasc.org, undated); few CAHs (INFERENCE)","https://archive.hasc.org/membership","endorse","For-profit sub; Endorsed Business Partners incl. AblePay, CorroHealth, Dexur (revenue cycle automation), MCAG, Glytec (new Dec 2025) (per HASC)","https://hasc.org/endorsed-business-partners","CorroHealth; Dexur; AblePay; MCAG","high","CorroHealth sells denials/appeals (corrohealth.com/denials) and is endorsed; Dexur covers revenue-cycle automation.","N","C","(judgment) Denials category held and the membership is urban; AES past client.","2026-09-24"
"State hospital association service arm","Hospital Council of Northern & Central California / California Hospital Share","hospitalcouncil.org","CA","N and Central CA","NOT_FOUND (AES coalition total 350+ hospitals across 5 assocs)","https://www.financialcontent.com/article/bizwire-2026-8-20-pivotal-health-partnership-brings-idr-expertise-to-more-than-350-hospitals-nationwide","endorse","Strategic Partner Program; California Hospital Share endorsements are exclusive, ""singular, best-of-breed providers"" (per AllHealth); AES administers the coalition","https://hospitalcouncil.org/hospital-business-partners-2","Pivotal Health (NSA IDR, exclusive coalition IDR partner Aug 2026); MCAG","low","IDR and class-action recovery only; no denials/appeals partner seen.","N","B","(judgment) Open slot and live AES-run program, but rural reach is thin.","2026-09-24"
"State hospital association service arm","CHA Shared Services (Colorado Hospital Association)","cha.com","CO","CO","32 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Premier Partners incl. LateralCare revenue alai (AI claims, billing, denial management; April 2026) and Ovation Healthcare (revenue cycle) (per CHA)","https://cha.com/members-resources/shared-services/premier-partners","LateralCare (AI denials); Ovation Healthcare (RCM)","high","LateralCare AI denial management is a Premier Partner since Apr 2026; Ovation also listed.","N","C","(judgment) Category closed by LateralCare and Ovation.","2026-09-24"
"State hospital association service arm","Connecticut Hospital Association (ChimeNet/ChimeData)","cthosp.org","CT","CT","140+ members (per LinkedIn); 0 CAHs (not in FMT 2024 table)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","sponsor","No endorsed-vendor program found; subsidiaries are ChimeNet (managed IT) and ChimeData (per CHA)","https://cthosp.org/about-cha/chimenet","none found","low","No endorsement program.","N","C","(judgment) No program and no CAHs.","2026-09-24"
"State hospital association service arm","Delaware Healthcare Association","deha.org","DE","DE","0 CAHs (not in FMT 2024 table)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","sponsor","Sponsorship application only (per DHA)","https://deha.org/sponsor-application-form","none found","low","No endorsement program.","N","C","(judgment) No program, no rural reach.","2026-09-24"
