"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"Rural network / hospital-owned co-op","The Rural Collaborative (TRC) + Rural Health Enterprise (RHE)","ruralcollaborative.com ; ruralhealthenterprise.com","WA","WA","31 hospitals (28 CAH, 3 PPS); RHE owned by TRC + 24 hospitals (RHE RFP, Mar 2026)","https://ruralcollaborative.com/wp-content/uploads/2026/04/RHE-RFP-contract-compliance-denial-mgmt-credit-bal.pdf","contract / fund / endorse","Two RHE RFPs (Mar 2026): (a) contract compliance + denials RFP scope incl. 'Appeal letter preparation', 'Submission of appeals', 'Tracking payer responses'; terms require 'RHE master services agreement, inclusive of program support administration fee' and 'group purchasing pricing based upon RHE volume'; proposals due 2026-04-03, 'Final Vendor Selection: April 15, 2026'. (b) Billing/RCM RFP with 'Denials Management (required offering)' incl. 'Appeals preparation and submission'; final selection 2026-05-29. Award announcements NOT_FOUND. RHTP: $5,430,000 of WA 2026 RHTP earmarked for TRC incl. revenue cycle capacity (ruralcollaborative.com/rhtp). RFPs run via Valify portal.","https://ruralcollaborative.com/wp-content/uploads/2026/04/Request-For-Proposal-Hospital-and-Clinic-Billing-Services-Final-031926.pdf","Award winners NOT_FOUND; TRC has existing joint contracts in 'Revenue Cycle: Artificial Intelligence, billing and coding' (vendors unnamed; Rural Health Value profile, Mar 2026)","med","Network itself sells no denials product; but the 2026 RFP winner(s), if a full-service RCM/recovery firm, may already hold the denials slot for opting-in members (award NOT_FOUND)","Y: members run MEDITECH (8) and Oracle/Cerner CommunityWorks (7) per RHE RFP","A","(judgment) Live, documented contract vehicle for exactly Aegis's service with an admin-fee model and RHTP money; 15 of 31 members on MEDITECH/Oracle. Next cycle or sub-contract to the award winner is the realistic path since April/May 2026 selection dates have passed.","2026-09-24"
"Rural network / hospital-owned co-op","Montana Health Network (MHN)","montanahealthnetwork.com","MT","MT","17 shareholder facilities (about-us page, seen 2026-09-24) + 'approximately 40 other healthcare entities' (RHIhub 2023, stale-ish)","https://montanahealthnetwork.com/about-us","refer / endorse / resell","Hospital-owned (est. 1987) shared-services co: 'products and services are developed, owned, and governed by the facilities they serve' per MHN. Programs: insurance trusts, workers comp, employee benefits, staffing, education, case management, 'Support Services'. Shareholder list (fetched 2026-09-24) includes 'Glendive Medical Center, Glendive, MT' plus Billings Clinic, Beartooth Billings Clinic, Central Montana MC, Dahl Memorial, Daniels Memorial, Fallon Medical Complex, Frances Mahon Deaconess, Holy Rosary, McCone County HC, Northeast Montana HS, Phillips County, Roosevelt MC, Sheridan Memorial, Sidney HC, St. John's United, Wheatland Memorial.","https://montanahealthnetwork.com/about-us","none found","low","No RCM or denials service listed among MHN program areas (about-us page)","Y: Montana; Glendive Medical Center (Aegis customer) is a listed shareholder with board representation","A","(judgment) Reach is borderline (~17 owners, mostly eastern MT CAHs) and no RCM program exists yet, but the Glendive shareholder tie gives the warmest possible peer reference; Montana tie lifts to A.","2026-09-24"
"Rural network / hospital-owned co-op","Yellowstone High Value Network (Cibolo-managed)","yellowstonenetwork.org","MT","MT","24 MT hospitals (member list, seen 2026-09-24; cibolohealth.com)","https://yellowstonenetwork.org/networks","refer / contract","Rural CIN launched 2025-05 with 24 CAHs; plans to 'lower the cost of purchasing equipment and services' (BusinessWire 2025-05-15). Member list (fetched 2026-09-24) includes 'Glendive Medical Center, Glendive, Montana'; also Sidney HC, Daniels Memorial, McCone County, Frances Mahon, Central Montana MC, Livingston HealthCare, Beartooth Billings Clinic, Bitterroot Health, Northern Montana Hospital, and others.","https://businesswire.com/news/home/20250515709279/en/Yellowstone-High-Value-Network-Launches-With-24-Critical-Access-Hospitals-Across-Montana","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","Y: Montana; Glendive Medical Center is a listed member","B","(judgment) Competitor risk via Cibolo/TruBridge, but collaborations are opt-in and Glendive sits inside; pitch the member CFO group as a denials-only add-on next to TruBridge, not Cibolo corporate.","2026-09-24"
"Rural network / hospital-owned co-op","Rough Rider High Value Network (Cibolo-managed)","roughridernetwork.org","ND","ND","23 hospitals (cibolohealth.com/networks, undated, seen 2026-09-24)","https://roughridernetwork.org/services","refer / contract","CIN launched late 2023 with $3.5M from ND Legislature (KFF 2025-09); per Phase 1, services page seeks coding/audit partners; shared contracts (mobile imaging) negotiated for members","https://roughridernetwork.org/services","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","B","(judgment) 23 CAHs and a working shared-contract mechanism, but Cibolo/TruBridge RCM overlap; sit-next-to angle only.","2026-09-24"
"Rural network / hospital-owned co-op","Headwaters High-Value Network (Cibolo-managed)","headwatersnetwork.org","MN","MN","17 hospitals (cibolohealth.com/networks)","https://cibolohealth.com/networks/","refer / contract","Rural CIN; hospitals choose which collaborations to join (HCI on Cibolo networks)","https://cibolohealth.com/networks/","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","B","(judgment) 17 hospitals and opt-in collaborations; TruBridge overlap keeps it off A.","2026-09-24"
"Rural network / hospital-owned co-op","Ohio High Value Network (Cibolo-managed)","NOT_FOUND","OH","OH, WV","24 hospitals (cibolohealth.com/networks); 26 at launch (BusinessWire 2025-04-17)","https://cibolohealth.com/networks/","refer / contract","Rural CIN; 115+ clinics per Cibolo","https://cibolohealth.com/networks/","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","B","(judgment) Largest Cibolo network by population; same TruBridge overlap.","2026-09-24"
"Rural network / hospital-owned co-op","Nebraska High Value Network (Cibolo-managed)","nehvn.org","NE","NE","19 hospitals (cibolohealth.com/networks)","https://cibolohealth.com/networks/","refer / contract","Rural CIN; opt-in shared purchasing","https://cibolohealth.com/networks/","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","B","(judgment) 19 CAHs; TruBridge overlap.","2026-09-24"
"Rural network / hospital-owned co-op","Wisconsin High Value Network (Cibolo-managed)","wihvn.org","WI","WI","10 hospitals (cibolohealth.com/networks; AHA 2025-11-25)","https://www.aha.org/aha-center-health-innovation-market-scan/2025-11-25-new-rural-blueprint-strategic-partnerships-keep-care-local","refer / contract","Rural CIN partnering with Cibolo on value-based arrangements, data sharing, QI (AHA 2025-11-25)","https://www.aha.org/aha-center-health-innovation-market-scan/2025-11-25-new-rural-blueprint-strategic-partnerships-keep-care-local","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","C","(judgment) Only 10 hospitals plus Cibolo/TruBridge overlap.","2026-09-24"
"Rural network / hospital-owned co-op","Kansas High Value Network (Cibolo-managed)","ks-hvn.org","KS","KS","7 hospitals at 2026-06-17 launch (PRWeb)","https://prweb.com/releases/seven-independent-rural-hospitals-launch-kansas-high-value-network-302803261.html","refer / contract","Rural CIN launched 2026-06","https://prweb.com/releases/seven-independent-rural-hospitals-launch-kansas-high-value-network-302803261.html","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","C","(judgment) 7 hospitals and Cibolo overlap.","2026-09-24"
"Rural network / hospital-owned co-op","Cascades Rural High Value Network (Cibolo-managed)","NOT_FOUND","OR","OR","11 hospitals (OHA HCMO transaction summary, notice accepted 2026-08-27)","https://www.oregon.gov/oha/HPA/HP/HCMOPageDocs/087-Transaction-Summary.pdf","refer / fund","New CIN pending Oregon HCMO review; 'managed by Cibolo Health (through a management services agreement)'. Filing says CIN 'does not plan to have joint contracts with suppliers or other vendors' though members may use preferred vendor relationships 'established by the CIN or Cibolo'. RHTP-linked OR-HVN proposal (15 hospitals) mentions AI to 'improve coding accuracy'.","https://www.oregon.gov/oha/HPA/HP/HCMOPageDocs/087-Response-to-Notice-HCMO-1752.pdf","TruBridge (Cibolo preferred RCM partner)","high","Manager Cibolo Health lists billing, coding, A/R and 'denial management' among its services and named TruBridge preferred RCM partner for its CIN members (BusinessWire 2025-02-12)","N","C","(judgment) Not yet approved, 11 hospitals, explicitly no joint vendor contracts; watch only.","2026-09-24"
