"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"CPA / advisory firm","Eide Bailly","eidebailly.com","MN/UT","National; strongest in Upper Midwest, Mountain West, TX, MT","500+ CAH clients (Eide Bailly CAH page); 3,500+ healthcare orgs nationwide (NE DHHS proposal)","https://www.eidebailly.com/industries/healthcare/critical-access-hospitals","refer/integrate/fund","ND HHS RHTP: ""ND HHS has selected Eide Bailly as a preferred vendor"" for rightsizing TA incl. ""Revenue cycle assessment"" (42 awards); Texas A&M RCHI rural program partner doing ""revenue cycle assessments, chargemaster reviews, and denial analysis reviews"" (per Eide Bailly); MI CAH Analytics Solution with MCRH; NRHA CAH conference plenary (Brian Bertsch); per GMC, Eide Bailly is Glendive Medical Center's annual auditor","https://www.hhs.nd.gov/sites/default/files/documents/rhtp/rightsizing-ta-call-handout-certified.pdf ; https://www.eidebailly.com/insights/case-studies/improving-access-to-healthcare-in-rural-texas ; https://www.gmc.org/about-us/faqs/","none found (no AI denials/appeals alliance found)","med","Sells revenue cycle consulting incl. ""Denials Analysis"" and staff experienced in writing RAC/DRG appeals (NE DHHS proposal https://das.nebraska.gov/materiel/purchasing/124273%20O3/Eide%20Bailly%20LLP.pdf); no outsourced appeals service found. Sit-next-to: they diagnose denials, Aegis files appeals (judgment).","Y: Auditor of Glendive Medical Center (GMC FAQ); Billings MT office (State of MT master contract https://healthcenter.mt.gov/_docs/sfsd/Eide-Bailly-LLP.pdf); audits Cabinet Peaks MC (FAC 2024) and prepares Livingston HealthCare 990; NE proposal lists chargemaster work on Meditech and Cerner","A","(judgment) Largest CAH audit/cost-report footprint found, active state RHTP and TX rural program roles, and it already audits Aegis's reference customer; medium overlap is consulting-only.","2026-09-24"
"CPA / advisory firm","CLA (CliftonLarsonAllen)","claconnect.com","MN","National","900+ hospitals incl. CAHs and rural PPS (CLA 2025-07-21); CLA hospital page says 1,000+ hospitals and health systems","https://www.claconnect.com/en/resources/articles/25/rural-health-care-financial-improvements","refer/integrate","Hospital revenue cycle performance management incl. ""Evaluation of denials management process"" and claims management; reimbursement practice incl. MAC/PRRB appeals; 2025 article urges ""Deploying artificial intelligence and automating repetitive revenue cycle tasks"" (per CLA)","https://www.claconnect.com/en/industries/health-care/hospitals/revenue-cycle-management","none found","low","Advisory only: evaluates denials processes; no outsourced denials/appeals product found. Publicly recommends AI for revenue cycle, a natural implementation hand-off (judgment).","N","A","(judgment) Very large sourced rural hospital reach, documented revenue cycle practice that stops at assessment, and a public AI-in-revenue-cycle stance.","2026-09-24"
"CPA / advisory firm","Forvis Mazars US","forvismazars.us","MO/NC","National (""all 50 states"" rural health)","NOT_FOUND (count); rural health practice ""serving rural healthcare providers across all 50 states""","https://www.forvismazars.us/industries/healthcare-life-sciences/hospitals-health-systems/rural-health","refer/integrate","NRHA platinum sponsor; NRHA 2025 CAH conference session ""Reducing Denials to Strengthen Rural Health Revenue"" (Steve Smith) and regulatory plenary (Joseph Watt); Tennessee Hospital Association RHTP hospital guide describes HRP Health Tech funding for ""AI-enabled ... revenue cycle workflow tools"" (per THA/Forvis Mazars)","https://www.forvismazars.us/events/2025/09/nrha-rural-health-clinic-and-critical-access-hospital-conferences ; https://tha.com/wp-content/uploads/2026/04/THA-TN-RHTF-Hospital-Funding-Pathways-4-1-2026.pdf","Own ""Denials Management Monitoring"" digital tool (analytics); reimbursement co-sourcing","med","Owns a denials analytics/monitoring product and sells denials prevention and management consulting plus implementation (Unity Health case). No appeal-writing product found; Aegis fits downstream of their monitoring tool (judgment).","N","A","(judgment) Med risk but clear sit-next-to angle (their tool monitors, Aegis appeals); national rural presence via NRHA platinum sponsorship and TN RHTP advisory role. Note: rural client Oak Valley Hospital District case runs MEDITECH (not a MEDITECH relationship).","2026-09-24"
"CPA / advisory firm","Wipfli","wipfli.com","WI","National; Midwest, Pacific NW, MT","""over a thousand clients"" among rural health clinics, CAHs and other providers (Wipfli rural page)","https://www.wipfli.com/industries/healthcare/rural-health-provider-solutions","refer/fund","Oregon ORH SHIP FY25 pooled options: Wipfli Option 1 ""Denials Analysis and Education""; RC services list ""Denials management""; Mountains Community Hospital (CAH) case: built denials process, AR down ~80% (per Wipfli)","https://www.ohsu.edu/sites/default/files/2025-01/FY25%20Pooled%20Options%20SHIP%20-%20Final.pdf ; https://www.wipfli.com/success-stories/hc-mountains-community-hospital","Client used a ""DSG denials management module"" in Wipfli CAH case (vendor role unclear)","med","Sells denials management consulting and a job posting describes ""outsourced revenue cycle engagements, including billing, collections, payer follow-up"" with offshore staff (https://careers-wipfli.icims.com/jobs/8235/senior-specialist%2c-healthcare-revenue-cycle/job); scale for hospitals not verified. Could become high if outsourced billing covers CAH denials.","Y: Missoula MT partner (per LinkedIn, seen 2026-09 https://www.linkedin.com/in/wayne-hiett-24aba2107); audited Daniels Memorial (Scobey MT) 2016 (stale)","A","(judgment) Live SHIP-funded denials offering in Oregon, large rural client base and Montana presence; verify outsourced billing scope before approaching.","2026-09-24"
"CPA / advisory firm","Stroudwater Associates","stroudwater.com","ME","National (40+ states annually)","400+ healthcare orgs served annually; ""hundreds of Critical Access Hospital leaders"" each year","https://www.stroudwater.com/","refer/endorse","Works with SORHs since Flex inception (2000) on revenue cycle and FOI for Flex/SHIP hospitals; NRHA 2025 CAH conference partner session; Mahaska Health (IA CAH) case: Stroudwater ""recommended bringing in a third-party vendor to focus on Medicare denials"" (per Stroudwater)","https://www.stroudwater.com/case-study/optimizing-revenue-cycle-management-how-mahaska-health-transformed-denials-management-and-front-end-collections/ ; https://www.stroudwater.com/who-we-serve/","Unnamed third-party Medicare denials vendor recommended at Mahaska","low","Consulting only (assessments, vendor management, replacing underperforming RC vendors); documented habit of recommending outside denials vendors.","N","A","(judgment) Rural-only firm that already steers CAHs to third-party denials vendors, with SORH/Flex and NRHA channels; best referral fit.","2026-09-24"
"CPA / advisory firm","BerryDunn","berrydunn.com","ME","National","NOT_FOUND (count); ""trusted partner to a growing number of CAHs"" since 1997","https://www.berrydunn.com/news-detail/berrydunn-elevates-services-for-critical-access-hospitals-nationwide","refer/integrate","CAH reimbursement modeling tool (2026); revenue cycle optimization to ""decrease denials""; supports implementing RC technology ""clearinghouse/claim scrubber, price estimators ... and other tools"" (per BerryDunn); EHR selection for CAHs","https://www.berrydunn.com/services/revenue-cycle-management","none found","low","Advisory and tech implementation; outsourced reimbursement and accounting, but no outsourced billing/appeals found.","N","B","(judgment) Open slot and a documented RC/tech-implementation practice, but no published CAH count; lift to A if reach is confirmed.","2026-09-24"
"CPA / advisory firm","DZA (Dingus, Zarecor & Associates)","dza.cpa","WA","21 states (firm); CAHs in 16 states; WA, ID, CO, WY, NM, MT","~100 CAHs in 16 states (DZA CAH page, 2023)","https://dza.cpa/critical-access-hospitals/","refer","CAH audit, cost report and Medicare appeals; hosts ""a three-day healthcare seminar"" for CAH clients (per DZA)","https://dza.cpa/critical-access-hospitals/","none found","low","Cost-report and Medicare cost-report appeals only; no claim-denial or RCM outsourcing found.","Y: Audits MT CAHs Missouri River Medical Center and Community Hospital of Anaconda (FAC listings https://fac.procurementexpress.com/auditors/Dingus%20Zarecor%20%26%20Associates%20PLLC)","A","(judgment) ~100 CAH audit clients, annual client seminar as a referral venue, Montana audits, no overlap.","2026-09-24"
"CPA / advisory firm","Blue & Co., LLC","blueandco.com","IN","IN, OH, KY + national","""nearly every hospital in Indiana, Ohio, and Kentucky""; 1,500+ healthcare providers (per Blue & Co)","https://www.blueandco.com/industries/healthcare/","refer","Revenue cycle consulting incl. denial management and medical-necessity defenses; Medicare bad debt analytics (per Blue & Co)","https://www.blueandco.com/services/consulting-services/healthcare-consulting/revenue-cycle/","none found","low","Consulting (PFS reviews, denial process, audit defense); no outsourced appeals product found.","N","A","(judgment) Dominant tri-state hospital CPA with documented RC/denials consulting and no product overlap.","2026-09-24"
"CPA / advisory firm","Draffin Tucker","draffin-tucker.com","GA","GA, AL, FL, SC + national","175+ healthcare providers; 150+ healthcare clients (Draffin Tucker); Cause IQ identifies 41 nonprofit clients, mostly hospitals","https://draffin-tucker.com/industries/healthcare/","refer","Hospital audit and Medicare cost reports; CAH designation analysis and ""reimbursement and billing, consultation"" (per Draffin Tucker)","https://draffin-tucker.com/services/healthcare-reimbursement/medicare-medicaid/","none found","low","Audit/reimbursement firm; no RCM or denials product.","N","B","(judgment) Strong Southeast rural hospital reach and open slot, but no revenue cycle program or alliance mechanism found.","2026-09-24"
"CPA / advisory firm","Wintergreen","wintergreenme.com","ME","National (40+ states)","300+ community healthcare orgs in 40+ states (NASBA listing); ~10 staff per LinkedIn","https://www.nasbaregistry.org/exhibitors/wintergreen-inc","refer/endorse","Co-hosts annual Rural Hospital & Clinic Revenue Optimization Virtual Conference with NOSORH (2025); OR SHIP pooled vendor; ND RHC benchmarking; revenue cycle consultants (per Wintergreen)","https://wintergreenme.com/wp-content/uploads/2025/01/Wintergreen-2025-Virtual-Conference.pdf ; https://www.ohsu.edu/sites/default/files/2025-01/FY25%20Pooled%20Options%20SHIP%20-%20Final.pdf","VersaBadge (RTLS tech co-promoted, ""175 CAHs"") (2024 deck)","low","Consulting and education only; already packages a partner technology (VersaBadge) for CAHs, a model for Aegis.","N","A","(judgment) Small firm but NOSORH-co-hosted revenue optimization conference plus SHIP pooled listing gives fast access to SORHs and CAH CFOs.","2026-09-24"
